"","Age","variable","value"
"466","65 to 69 years","X.90.000.to..92.499",90
"467","70 to 74 years","X.90.000.to..92.499",54
"468","75 years and over","X.90.000.to..92.499",51
"469","15 to 24 years","X.92.500.to..94.999",5
"470","25 to 29 years","X.92.500.to..94.999",33
"471","30 to 34 years","X.92.500.to..94.999",56
"472","35 to 39 years","X.92.500.to..94.999",63
"473","40 to 44 years","X.92.500.to..94.999",60
"474","45 to 49 years","X.92.500.to..94.999",83
"475","50 to 54 years","X.92.500.to..94.999",68
"476","55 to 59 years","X.92.500.to..94.999",100
"477","60 to 64 years","X.92.500.to..94.999",61
"478","65 to 69 years","X.92.500.to..94.999",74
"479","70 to 74 years","X.92.500.to..94.999",37
"480","75 years and over","X.92.500.to..94.999",44
"481","15 to 24 years","X.95.000.to..97.499",9
"482","25 to 29 years","X.95.000.to..97.499",65
"483","30 to 34 years","X.95.000.to..97.499",88
"484","35 to 39 years","X.95.000.to..97.499",120
"485","40 to 44 years","X.95.000.to..97.499",101
"486","45 to 49 years","X.95.000.to..97.499",119
"487","50 to 54 years","X.95.000.to..97.499",127
"488","55 to 59 years","X.95.000.to..97.499",127
"489","60 to 64 years","X.95.000.to..97.499",99
"490","65 to 69 years","X.95.000.to..97.499",53
"491","70 to 74 years","X.95.000.to..97.499",29
"492","75 years and over","X.95.000.to..97.499",39
"493","15 to 24 years","X.97.500.to..99.999",4
"494","25 to 29 years","X.97.500.to..99.999",29
"495","30 to 34 years","X.97.500.to..99.999",61
"496","35 to 39 years","X.97.500.to..99.999",63
"497","40 to 44 years","X.97.500.to..99.999",89
"498","45 to 49 years","X.97.500.to..99.999",64
"499","50 to 54 years","X.97.500.to..99.999",105
"500","55 to 59 years","X.97.500.to..99.999",93
"501","60 to 64 years","X.97.500.to..99.999",77
"502","65 to 69 years","X.97.500.to..99.999",62
"503","70 to 74 years","X.97.500.to..99.999",43
"504","75 years and over","X.97.500.to..99.999",35
"505","15 to 24 years","X.100.000.and.over",200
"506","25 to 29 years","X.100.000.and.over",665
"507","30 to 34 years","X.100.000.and.over",1339
"508","35 to 39 years","X.100.000.and.over",1957
"509","40 to 44 years","X.100.000.and.over",2236
